,Netgen,SARIMA Predictions
2012-01-31,13630856.271,
2012-02-29,11051714.167,
2012-03-31,14027344.963,
2012-04-30,12709032.609,
2012-05-31,12540324.267,
2012-06-30,11972159.493,
2012-07-31,8823083.0,
2012-08-31,8469418.993,
2012-09-30,8789865.457,
2012-10-31,12635901.12,
2012-11-30,11648496.8,
2012-12-31,14523517.58,
2013-01-31,14738504.263,
2013-02-28,14075590.675999999,
2013-03-31,15755653.371,
2013-04-30,17476274.293,
2013-05-31,16238702.127,
2013-06-30,13748105.758,
2013-07-31,11093613.546,
2013-08-31,9633883.675999999,
2013-09-30,11674081.147,
2013-10-31,13635018.093,
2013-11-30,15803259.68,
2013-12-31,13967058.812,
2014-01-31,17911214.333,
2014-02-28,14008660.446,
2014-03-31,17735882.898,
2014-04-30,18635549.172,
2014-05-31,15601366.844,
2014-06-30,15798817.123,
2014-07-31,12187392.42,
2014-08-31,10170520.757,
2014-09-30,11519768.418,
2014-10-31,14507931.107,
2014-11-30,18866928.809,
2014-12-31,14711249.47,
2015-01-31,15162146.332,
2015-02-28,14921545.342,
2015-03-31,15307928.944,
2015-04-30,17867149.212,
2015-05-31,17151341.307,
2015-06-30,13421266.191,
2015-07-31,13675449.37,
2015-08-31,13080027.556,
2015-09-30,13971566.514,
2015-10-31,16380038.525,
2015-11-30,19681715.639,
2015-12-31,20098372.773,
2016-01-31,18466401.507,
2016-02-29,20138227.802,
2016-03-31,21939409.332,
2016-04-30,20799303.451,
2016-05-31,18847898.671,
2016-06-30,16303441.304,
2016-07-31,17618357.118,
2016-08-31,13589326.153,
2016-09-30,16403640.165,
2016-10-31,20335389.777,
2016-11-30,19405642.108,
2016-12-31,23145524.741,
2017-01-31,20798771.012,
2017-02-28,22091109.268,
2017-03-31,25730616.726,
2017-04-30,25377942.955000002,
2017-05-31,23067638.563,
2017-06-30,20141746.964,
2017-07-31,16119996.036,
2017-08-31,13878848.273,
2017-09-30,17911774.744,
2017-10-31,24368702.909,
2017-11-30,22614866.796,
2017-12-31,22200680.976,
2018-01-31,25598822.202,
2018-02-28,23189489.239,
2018-03-31,26463703.91,
2018-04-30,26430857.179,
2018-05-31,23953127.66,
2018-06-30,24702855.923,
2018-07-31,16446574.389,
2018-08-31,19846436.993,
2018-09-30,18519670.629,
2018-10-31,21193898.009,
2018-11-30,22015733.899,
2018-12-31,24306283.683,
2019-01-31,24301449.501,
2019-02-28,22622753.423,
2019-03-31,25772678.421,
2019-04-30,28915306.034,
2019-05-31,25779386.964,
2019-06-30,22445970.491,
2019-07-31,22100722.067,
2019-08-31,19978030.725,
2019-09-30,24513467.859,
2019-10-31,27624519.307,
2019-11-30,25184358.873,
2019-12-31,26644304.834,
2020-01-31,28121411.375,27982762.16144322
2020-02-29,29110494.542,27095185.85817718
2020-03-31,29319782.932,30011135.26738852
2020-04-30,29752228.971,31569694.693312358
2020-05-31,28377505.361,29184490.296894684
2020-06-30,30212405.232,26867160.265318297
2020-07-31,22866198.208,25007863.979904238
2020-08-31,23029331.902,23664330.472542636
2020-09-30,23185977.549,26661641.925065123
2020-10-31,28822662.686,30224958.458245225
2020-11-30,33129405.102,29471829.109471314
2020-12-31,32010645.171,30645200.54576247
2021-01-31,30060471.395,31829213.706969324
2021-02-28,26715500.918,31006248.309707798
2021-03-31,39205248.011,33929402.02785355
2021-04-30,36157806.757,35141683.88877918
2021-05-31,33786507.901,32906764.819396086
2021-06-30,26671533.682,30979416.382854763
2021-07-31,21715551.512,28491368.686396945
2021-08-31,27071122.038,27599520.96610275
2021-09-30,28997802.901,30090989.256078385
2021-10-31,32215111.44,33704028.77560335
2021-11-30,35751090.637,33365697.197921265
2021-12-31,39849027.617,34583729.604583204
2022-01-31,,35693931.97663064
2022-02-28,,34855545.15212117
2022-03-31,,37819691.32187422
2022-04-30,,39116138.2025693
2022-05-31,,36877871.798488125
2022-06-30,,34957757.30540442
2022-07-31,,32517939.99962911
2022-08-31,,31654763.28814467
2022-09-30,,34209705.93667291
2022-10-31,,37826430.12188483
2022-11-30,,37456979.45182088
2022-12-31,,38723424.73174218
2023-01-31,,39860668.712722875
2023-02-28,,39042434.74564523
2023-03-31,,42036572.46962417
2023-04-30,,43389517.5118286
2023-05-31,,41167504.12380316
2023-06-30,,39250133.13345779
2023-07-31,,36880106.00631905
2023-08-31,,36018291.28841181
2023-09-30,,38637196.70119667
2023-10-31,,42277126.67513134
2023-11-30,,41904601.92429828
2023-12-31,,43199573.659291506
2024-01-31,,44370213.16324495
2024-02-29,,43581023.44604456
2024-03-31,,46601849.01986232
2024-04-30,,47981804.37757192
2024-05-31,,45787658.176231146
2024-06-30,,43895992.37785243
2024-07-31,,41556667.50806596
2024-08-31,,40719089.01015687
2024-09-30,,43367109.36338299
2024-10-31,,47035254.251853384
2024-11-30,,46690134.29086177
2024-12-31,,48011174.84341733
